"","entityName","loc","sic","sicDescription","2008Q2","2008Q3","2008Q4","2009Q1","2009Q2","2009Q3","2009Q4","2010Q1","2010Q2","2010Q3","2010Q4","2011Q1","2011Q2","2011Q3","2011Q4","2012Q1","2012Q2","2012Q3","2012Q4","2013Q1","2013Q2","2013Q3","2013Q4","2014Q1","2014Q2","2014Q3","2014Q4","2015Q1","2015Q2","2015Q3","2015Q4","2016Q1","2016Q2","2016Q3","2016Q4","2017Q1","2017Q2","2017Q3","2017Q4","2018Q1","2018Q2","2018Q3","2018Q4","2019Q1","2019Q2","2019Q3","2019Q4","2020Q1","2020Q2","2020Q3","2020Q4","2021Q1","2021Q2","2021Q3","2021Q4","2008Q1"
"124","FIRST REAL ESTATE INVESTMENT TRUST OF NEW JERSEY, INC.","US-NJ",6798,"Real Estate Investment Trusts",64143269.3392784,132049124.06856,17809768.6736894,16372403.7242244,-2729976.18502306,-11581847.0931121,38212917.4489056,-9657854.35750995,1376000,25295.2938954735,1019000,1320000,1505000,1534000,1193000,1943000,-223000,8438000,1471000,1870000,911000,3197000,9625000,833000,555000,644000,1048000,532000,968000,83000,1002000,809000,1246000,-52000,63000,-699000,13754000,-2000,-357000,1115000,292000,433000,459000,786000,199000,343000,-2262000,27220000,-181000,-4224000,-536573.686786961,-418083.947681704,-653272.041057373,168377.616595689,45777000,NA
"125","FREQUENCY ELECTRONICS, INC.","US-NY",3825,"Instruments For Meas & Testing of  Electricity & Elec Signals",64142869.4799947,132048482.934412,17810315.8950445,16372801.7775359,-2729999.99863874,-11581999.9930956,38213087.0777526,-9657999.99193262,507000,328000,508000,-307815.574701554,1344000,776000,1074000,-346977.815670229,768000,1441000,1520000,-131655.811794365,676000,1391000,1218000,-584734.649948242,719000,1289000,878000,-770436.711162703,891000,-69000,282000,-840769.098579048,-706000,-1024000,338000,-675009.17323788,614000,-1481000,-10396000,-217997.076854549,31000,122000,-321000,-804033.880423337,-591000,-4909000,-1546000,-1090750.6129292,-262000,329000,-8e+05,-418093.90526058,-1575000,497000,-735000,NA
"126","GEE GROUP INC.","US-FL",7361,"Services-Employment Agencies",64142869.4725354,132048482.934412,17810315.8950445,16372801.7775359,-2729999.99831997,-11581999.9914596,38213087.0777526,-9657999.99121242,-137000,25288.6809990082,15000,-104000,222000,64068.8748061363,23000,-515000,80000,-64638.9440712777,186000,-826000,-228000,5798.46055361672,-227000,-727000,-634000,-658945.341016107,-3407000,-45000,118000,-562969.824402802,-394000,7000,528000,-189787.723584732,51000,-129000,-6020000,-261753.937270282,-1791000,-2878000,-1887000,-643630.272116464,-3452000,-3890000,-6834000,-369612.843053631,-3563000,-5428000,7195000,-257602.269047519,-315000,-1735000,-937000,168369.26847882,16668000,NA
"127","IEH Corporation","US-NY",3678,"Electronic Connectors",-23997.9998626525,132048482.934412,17810315.8950445,16372801.7775359,8795417.92054836,7866853.8882594,38213087.0777526,148826.88643773,394868,210265,397898,-112813.838918019,347655,257275,281328,-129013.017451379,315114,202400,255092,-82502.7235876488,524319,482241,190554,-30406.5160092632,387212,420197,594339,26099.0137968084,746603,135422,423677,36054.3400828601,337596,536651,322778,2399.58436979361,305622,564660,474908,33780.8124159124,2259285,946304,788880,60494.3943884592,909533,-1216311,972085,-107197.730216236,474237,1396948,1035999,176829.775583383,2343588,-242227,-204982,NA
"128","LA-Z-BOY INCORPORATED","US-MI",2510,"Household Furniture",573015054.180695,726953246.119951,-672124933.966659,-76893929.5087553,1460826.33185402,2150012.95748974,7912037.75209016,5111252.992814,-216000,3945000,10010000,6345449.77349433,45536000,7870000,14958000,5495496.20504415,4398000,6619000,17064000,8768282.01129897,9590000,16744000,16483000,10951258.4502344,13081000,19529000,17948000,6735404.69557473,13676000,20952000,21906000,4409241.95347283,13806000,20833000,23286000,8617097.60060355,11651000,22896000,12109000,5286296.05596343,18303000,20012000,28731000,4918209.64221205,18069000,22593000,34512000,1053734.54222681,4798000,34935000,29232000,8520784.1038707,24566000,39516000,28467000,NA
"129","METHODE ELECTRONICS, INC.","US-IL",3678,"Electronic Connectors",580753984.756564,734589984.981498,-717999907.256072,-81017090.241326,1448359.99411464,2140157.84297743,7931858.2747988,5132450.76608665,4065000,-513000,5883000,6399306.80607963,1494000,311000,809000,5769000,3900000,23300000,3300000,10200000,13600000,19800000,14600000,48100000,21400000,2.6e+07,27100000,26600000,23500000,21200000,17200000,22700000,21200000,24900000,23700000,23100000,20500000,24200000,-24300000,36800000,23700000,14600000,30700000,22600000,28300000,23800000,41200000,30100000,28300000,38600000,31900000,31100000,29100000,27500000,29400000,NA
"130","National Beverage Corp.","US-FL",2086,"Bottled & Canned Soft Drinks & Carbonated Waters",126890646.699738,71471917.629601,-2143873.47069422,-99711.0979620807,13312993.4407956,19832163.9073878,45974450.0914454,33625849.0318331,12053000,10207000,7407000,39404921.7748335,13435000,11123000,7904000,11531000,14392000,12017000,8414000,12097000,12070000,12497000,7136000,11932000,15363000,12958000,8808000,12182000,17113000,15312000,11236000,17537000,28995000,24604000,24285000,29161000,38272000,33980000,41080000,36442000,48830000,41077000,24811000,26135000,34542000,32654000,26563000,36213000,51164000,47164000,36687000,39131000,53816000,39284000,31068000,NA
"131","MOVADO GROUP, INC.","US-NJ",3873,"Watches, Clocks, Clockwork Operated Devices/Parts",580753999.95636,734589999.957485,-717999999.744517,-81017098.4973845,1448359.96986661,2140157.82379123,7931858.3135332,5132450.80753838,-20908000,17145000,5187835.32237177,491000,4408000,16404000,10692000,6633000,8058000,34473000,7919000,8210000,12454000,23019000,7193000,7365000,12151000,22209000,10051000,3622000,12053000,21532000,7888000,3308000,6306000,20215000,5232000,-4159000,5482000,17360000,-33908000,8115000,9140000,26922000,17447000,3925000,17505000,17765000,3504000,-149993000,-6615000,14825000,7716919.14316375,9409000,19410000,31405000,6736843.80376247,NA
"132","AGILYSYS, INC.","US-GA",7373,"Services-Computer Integrated Systems Design",64142869.4893927,132048482.937371,17810315.8950444,16372801.7781157,-2729999.99861852,-11581999.9930855,38213087.0789745,-9657999.99136118,-10252000,-2214000,1998000,-307815.574705072,-6228000,6933000,-6509000,-16979000,-1792000,-351000,516000,329000,1316000,20453000,-2663000,-2009000,-2229000,-1127000,-2715000,-5426000,-2297000,-2400000,-1737000,-5287000,-2958000,-3248000,-1934000,-210000,-2958000,-3248000,-1934000,-210000,-1736000,-3791000,-4048000,-3589000,-1575000,-2918000,-2582000,-26992000,-517000,5867000,-2070000,-418093.905292033,1972000,982000,1542000,NA
"133","NATIONAL PRESTO INDUSTRIES INC","US-WI",3480,"Ordnance & Accessories, (No Vehicles/Guided Missiles)",64142869.6468178,132048483.190346,17810315.676595,16372801.6186344,5066999.99336835,4403999.9966063,5249000.00338785,2564104.48546274,14975000,13213000,2838070.37966865,11363000,10817000,12386000,13402000,9344000,8703000,9401000,11427000,6854000,8301000,9015000,17082000,4690000,4171000,5123000,12493000,8109000,9120000,8111000,15156000,7211000,8274000,8304000,20775000,18155000,9712000,8332000,16760000,10986000,10775000,6371000,11808000,5951000,8156000,16389000,11724000,8222000,12657000,12138000,13941000,8993000,9292000,4129000,3240000,NA
"134","Powell Industries, Inc.","US-TX",3613,"Switchgear & Switchboard Apparatus",580730997.149998,734567335.755868,-717860042.030196,-81004604.8004477,1448268.35986262,2139960.38642229,7932083.76069191,5131952.42665811,10286000,5258602.69693759,2432000,1733000,73000,-6953000,-1745000,7411000,12138000,11853000,7385000,6818000,9305000,18568000,8255000,15593000,2947000,2429000,-239000,-3683000,7049000,6312000,-459000,5567000,4894000,5508000,-3e+05,-829000,-3215000,-5142000,-5662000,-3330000,301000,1539000,-2695000,958000,5089000,6538000,2775000,7421000,3481000,2983000,-364000,-225000,-2041000,3261000,-2846000,NA
"135","SIFCO Industries, Inc.","US-OH",3724,"Aircraft Engines & Engine Parts",64142869.4935403,132048482.944576,17810315.8863682,16372801.7712247,-2729999.99856914,-11581999.9922519,38213087.0750631,-9657999.99031934,984000,25288.6811026957,1206000,1995000,2064000,2184000,1186000,1724000,2441000,1197000,3415000,1435000,2478000,2906000,947000,1426000,1907000,743000,-1408000,-64000,-1007000,-393000,-2598000,-299000,-1050000,-189787.723460393,-2609000,-1657000,-6202000,-261753.93714677,-911000,-2038000,-1532000,-643630.271941396,-1282000,-1258000,-7370000,-369612.842939822,-1342000,3260000,2250000,-257602.268935771,-536584.135518467,-418093.905117247,-653284.912216529,168369.268616797,-540855.024395588,NA
"136","TEL-INSTRUMENT ELECTRONICS CORP.","US-NJ",3670,"Electronic Components & Accessories",-23997.9988972727,132048482.934412,17810315.8950445,16372801.7775359,8795417.91249258,7866853.8789964,38213087.0777526,148826.885815309,-275412,-87994,29012,-112813.838955961,-80795,103316,97431,-48936,-668800,-429705,-545177,-1128889,-85772,-72474,-145933,565707,-384005,-248195,-20944,372704,279066,199466,226586,299035,410309,272055,141513,-5583316,-286091,-2920589,-333436,-782195,-746073,-191410,639453,501068,257776,536234,907577,-107197.730382795,110980,222748,499633,176829.775466316,575501,999676,194622,NA
"137","WORLD ACCEPTANCE CORPORATION","US-SC",6141,"Personal Credit Institutions",580753999.95636,734589999.957485,-717999999.744517,-81017098.4973845,1448359.96986661,2140157.82379123,7931858.3135332,5132450.80753838,18714000,20235000,18064000,34236000,20182000,23304000,19582000,37626000,22615000,22901000,20674000,37900000,23112000,21565000,22954000,38977000,22556000,21274000,18489000,48515000,23632000,19187000,14751000,29826000,16618000,15491000,9640000,31851000,13067000,9800000,1680000,29143000,-21503000,14538000,6260000,37940000,8608000,2513000,-6267000,23303000,15509000,13398000,14491000,44884000,15771000,12439000,7327000,NA
"138","Spectrum Brands Holdings, Inc.","US-WI",3690,"Miscellaneous Electrical Machinery, Equipment & Supplies",64142869.4872009,132048482.934412,17810315.8950444,16372801.7775358,8795417.92054836,7866853.8882594,38213087.0777525,19225008.5948446,-51618000,4557688.32580074,-20070000,-61950000,217304000,-479599998.871504,39500000,1.2e+07,-135100000,10799999.9965668,74100000,-33300000,103600000,1360283.63410107,-26800000,-75500000,98300000,-29077814.5355202,-109800000,-228300000,-75600000,-143100000,-33900000,-24700000,-132900000,-7300000,212200000,-8.2e+07,2100000,-26300000,507400000,-28900000,405600000,-115800000,-112500000,728600000,-25900000,-95700000,-35800000,-56900000,145100000,45400000,72100000,36600000,30700000,50200000,8200000,NA
"139","GRAYBAR ELECTRIC COMPANY, INC.","US-MO",5063,"Wholesale-Electrical Apparatus & Equipment, Wiring Supplies ",125993814.365022,70699501.6297043,-2081061.77527649,-76359.2970587345,13445472.5320202,20034726.6480665,46351978.9147851,33920573.940159,9569000,19925000,34838096.7398366,11528000,23921000,32546000,13430000,16355000,42788000,20012000,7136000,7946000,21891000,28633000,22593000,11321000,29044000,30464000,16599000,12460000,25088000,28311000,25209000,15045000,25635000,30129000,22270000,17700000,33300000,29400000,-8800000,21100000,44500000,53600000,24100000,34300000,4.7e+07,48800000,14400000,21400000,37100000,34500000,28800000,47200000,80100000,74300000,60800000,NA
"140","PISMO COAST VILLAGE, INC.","US-CA",7000,"Hotels, Rooming Houses, Camps & Other Lodging Places",-23997.9998626525,132048482.934412,17810315.8950445,16372801.7775359,8795417.92054836,7866853.8882594,38213087.0777526,148826.88643773,243324,283681,-242,-42219,280241,293563,-12870,-29665,284692,-28501.8629471027,32457,160321,280430,38690.3350838424,36524,99836,338536,-70535.7796190953,88633,52762,417520,24305.4898609816,105988,223535,226132,31259.0611766713,112516,112151,497425,21572.4343756612,181636,577695,441584,423285,146933,180699,671230,479371,121654,102875,-32414,686741,306352,402206,1354311,49358.3933746598,447617,NA
"141","CAVCO INDUSTRIES INC.","US-AZ",2451,"Mobile Homes",64142869.4874012,132048482.934733,17810315.89477,16372801.7773362,5067000.00012434,4404000.00008897,5249000.00092973,2564104.48339119,518000,680000,24000,1480523.03082149,10222000,1685000,1677000,1653000,860000,1254000,1457000,1392000,1826000,4310000,5892000,4210000,5759000,5467000,6638000,5953000,5385000,8070000,8098000,6988000,5443000,9341000,12283000,10888000,11753000,6182000,21427000,22140000,19691000,15576000,13384000,19971000,21282000,20885000,20898000,3042920.45135393,16674000,15049000,19701000,6739437.98128903,27046000,37610000,79419000,NA
"142","SPARTA COMMERCIAL SERVICES, INC.","US-NY",7389,"Services-Business Services, NEC",64142869.1715251,132048482.934412,17810315.8950445,16372801.7775359,-2729999.98545607,-11581999.9254399,38213087.0777526,-9657999.96214967,-1342784,-502852,-807934,-307815.574505007,-365471,-674110,-653450,-346977.815449344,-1061981,-879198,-840959,-131655.81174578,-634004,-737302,-731901,-584734.649348448,-558948,-1154306,-1398950,-770436.710247501,-1628300,-1164684,-1443893,-840769.097548516,-1187464,1790,-2143509,-675009.172483343,-366889,-583396,-699926,-217997.076602258,439597,-1541344,-256633,-804033.879416219,-1748323,873016,-86227,-1090750.61170818,-2214895,-173122,-120808,-418093.904638034,380140,-4759169,-1743526,NA
"143","UNION BANKSHARES, INC.","US-VT",6022,"State Commercial Banks",64142869.4872006,132048482.934411,17810315.8950444,16372801.7775358,5067000.00013283,4404000.00009334,5249000.00092664,2564104.48338858,1526000,1460000,2838070.37768853,1028000,1031000,1427000,1733000,1227000,1438000,1981000,2198000,1737000,1797000,2073000,1528000,1764000,1919000,2126000,1885000,1884000,2017000,2050000,1927000,1759000,2139000,2268000,2345000,1930000,2227000,2370000,1922000,2747000,2450000,2311000,-436000,2621000,2530000,2738000,2759000,2196000,2668000,4147000,3794000,2876000,2991000,3925000,3378000,NA
"144","AMERISERV FINANCIAL INC /PA/","US-PA",6021,"National Commercial Banks",64142870.3988191,132048484.396127,17810314.6474176,16372800.8700048,4718000.38566824,4006796.2985997,5434168.60884885,2352141.22932238,477000,609000,2752238.32619614,1263000,1938000,1566000,1770000,1565000,1432000,1307000,735000,1056000,1070000,1226000,1841000,930000,979000,365000,749000,1369000,1421000,1833000,1374000,-1267000,1362000,1065000,1150000,1348000,1389000,1551000,-995000,1767000,1744000,2329000,1928000,1878000,1792000,1689000,669000,1409000,1419000,1078000,692000,2081000,1708000,1431000,1852000,NA
"145","ANIXA BIOSCIENCES, INC.","US-CA",2834,"Pharmaceutical Preparations",64142869.4881151,132048482.935646,17810315.8950444,16372801.7777777,-2729999.9988098,-11581999.9940126,38213087.0782622,-9657999.99209976,-1270133,25288.6810046823,-1526109,-1287040,-1773498,-2791389,-886085,-877109,-629102,-1860503,-2094987,-2476453,-2581892,5798.46054097804,-3614428,-3249443,411001,-658945.341043268,3752220,-2236671,-1602179,-562969.824440486,-1593089,-1271894,-1103775,-189787.723618782,-3598035,160489,-1794400,-261753.937298641,-1838072,-1378534,-5476926,-643630.272160403,-636572.422194386,-804033.88045197,-2140028,-369612.843086888,-2592543,-2640093,-2561684,-257602.269078198,-2208000,-2399000,-653284.912428233,168369.26847842,-3829000,NA
"146","GRAHAM CORP","US-NY",3560,"General Industrial Machinery & Equipment",64160813.8210853,132077254.518468,17785777.8535659,16354950.0962531,-2728931.6181464,-11575141.0780538,38205476.3557615,-9651467.29643611,878000,1557000,759000,-307435.911231664,3016000,5468000,1640000,429000,1390000,2615000,3047000,4096000,3808000,2589000,1431000,2317000,2392000,4186000,3992000,4165000,2361000,1976000,1274000,520000,85000,1297000,1840000,1801000,935000,10000,-11622000,833000,2323000,1827000,95000,-4553000,82000,1205000,9000,576000,-1818000,2744000,1060000,388000,-3126000,-492000,-3730000,NA
"147","INOTIV, INC.","US-IN",8731,"Services-Commercial Physical & Biological Research",-23888.6600107554,132048482.934412,17810315.8950444,16372801.7775358,8794505.55992369,7865804.81895762,38213087.0777526,148756.390723145,288000,50023.8200322809,310000,483000,418000,59174.365996701,-1547000,-1828000,-246000,-28502.6720795031,256000,-311000,576000,38689.5977392055,-662000,-219000,215000,-70548.0943830552,182000,150000,1478000,24292.9131975914,-506000,-254000,-433000,31254.1310090454,17000,417000,221000,21566.1494432228,26000,55000,-75000,31133.7191420789,-85000,-569000,-426000,36139.7572000447,-1426000,-588000,-37722.0069460168,110197.4088916,163765.085848499,176816.516396701,610453.9573117,49361.046126608,-83047000,NA
"148","CEL-SCI CORPORATION","US-VA",2836,"Biological Products, (No Diagnostic Substances)",64199108.7885923,132124420.584809,17810315.8950444,16387679.898006,-2721594.67635382,-11541279.3984575,38244439.4727586,-9625555.07971499,-601124,25708.759339707,-6250952,-14029604,-3114255,-2317532,-3581213,-8493959,-835446,-2566692,-2310246,-713371,-4447473,-1699857,-4334418,-13365580,-2444480,-7221787,-7845318,-12556236,-4429137,-563431.488938966,2332734,-8855530,-3861606,-191236.362783495,3521153,-8426491,-4464063,-262662.363812438,-6187830,-4708135,-6014568,-644149.130964764,1245902,-6447681,-12084768,-370435.645511247,-5531360,-9067818,-10276979,-258403.082125243,-7936864,-11281120,-8938268,167999.211295531,-8782606,NA
"149","UNITED BANCORP INC /OH/","US-OH",6022,"State Commercial Banks",-5663.68893252261,132048482.935443,17810315.8941641,16372801.7768955,8645115.19370493,7694478.87192874,38210068.73674,137200.850739056,701000,710000,-30897.5057899578,738000,752000,801000,8e+05,761000,731000,451000,455000,465000,469000,1079000,599000,485000,716000,718000,732000,694000,805000,859000,866000,845000,907000,928000,901000,850000,916000,1e+06,780000,1148000,1212000,1331000,591000,1614000,1646000,1781000,1769000,1579000,1675000,2059000,2640000,1908000,2185000,2902000,2456000,NA
"150","QNB Corp.","US-PA",6022,"State Commercial Banks",64142869.4872006,132048482.934411,17810315.8950444,16372801.7775358,5067000.00013283,4404000.00009334,5249000.00092664,2564104.48338858,1963000,1618000,2838070.37768853,2211000,2435000,2322000,1912000,2471000,2505000,2074000,2125000,2408000,1894000,2128000,1962000,2296000,2172000,2044000,2486000,2136000,1934000,2220000,1943000,2265000,2098000,2292000,2269000,2860000,2386000,2554000,489000,2935000,2862000,3211000,2327000,3379000,3143000,3090000,2745000,220000,3934000,3778000,4151000,5050000,3869000,3424000,4149000,NA
"151","CHAMPIONS ONCOLOGY, INC.","US-NJ",2836,"Biological Products, (No Diagnostic Substances)",64142869.4872007,132048482.934411,17810315.8950444,16372801.7775358,-2729999.99894671,-11581999.9946761,38213087.0777525,-9657999.99262838,-591000,-54000,-415000,-307815.574706145,-2037000,-2349000,-1719000,-346977.815675389,-1323000,-1974000,-990000,-131655.8117955,-2232000,-2318000,-574000,-584734.649962254,-3548000,-3078000,-2816000,-770436.711184083,-2913101,-2548000,-2412381,-840769.098603122,-2546449,-504000,-1408904,-675009.173255507,-674000,-94000,-76000,-217997.076860443,483000,267000,-369000,-804033.880446863,-641000,307000,75000,-1090750.61295772,75000,1000,959000,-418093.905275123,-172000,277000,787000,NA
"152","CIRRUS LOGIC, INC.","US-TX",3674,"Semiconductors & Related Devices",580753940.7386,734589885.214159,-717999722.323372,-81017071.4019661,1448360.21971967,2140158.16847017,7931859.25326889,5132451.46326728,17602000,30874000,24621000,130406000,9178000,11247000,16731000,50827000,6927000,35449000,67862000,26360000,20642000,33367000,41500000,12602000,10248000,852000,22729000,21349000,33354000,34880000,41384000,14012000,18071000,86039000,122041000,35058000,42912000,73300000,33779000,12004000,-4272000,58173000,29933000,6157000,4618000,76210000,68512000,10158000,18209000,59486000,114368000,25281000,17209000,85096000,127636000,NA
"153","ARK RESTAURANTS CORP.","US-NY",5812,"Retail-Eating  Places",64142880.7540125,132048500.999947,17810300.4754714,16372790.5612477,-2729999.32792653,-11581995.68626,38213082.2980255,-9657995.8889605,2916000,25288.8673329124,-213000,-1553000,2306000,64069.0217845876,1086000,-404000,2964000,-64638.7513242705,8000,-265000,2629000,5798.67562600742,563000,-174000,2239000,-658944.956309304,722000,-583000,3241000,-562969.521207593,321000,-646000,3367000,-189787.483974905,1734000,-393000,1386000,-261753.693633579,1627000,-637000,2657000,-643629.897925225,-62000,-669000,3962000,-369612.605487221,1513000,-1778000,-2526000,-257602.039088278,-763000,4161000,2670000,168369.503713297,2209000,NA
"154","FARMERS & MERCHANTS BANCORP, INC.","US-OH",6035,"Savings Institution, Federally Chartered",64142869.4872006,132048482.934411,17810315.8950444,16372801.7775358,5067000.00013283,4404000.00009334,5249000.00092664,2564104.48338858,1341000,2197000,2838070.37768853,1981000,1567000,2081000,2885000,2284000,2538000,2441000,2525000,2152000,2502000,2066000,2287000,1958000,2553000,2474000,2661000,2351000,2597000,2620000,2772000,2481000,2974000,3015000,3194000,2839000,3223000,3222000,3436000,3767000,4114000,3875000,3193000,3224000,6180000,4275000,4723000,4105000,4804000,4410000,6776000,4909000,4983000,5920000,7683000,NA
"155","American Woodmark Corp","US-VA",2430,"Millwood, Veneer, Plywood, & Structural Wood Members",580753999.95636,734589999.957485,-717999999.744517,-81017098.4973845,1448359.96986661,2140157.82379123,7931858.3135332,5132450.80753838,-3418000,-7384000,-5828000,6399306.91160577,-2716000,-2976000,-9114000,-5980000,561000,1950000,2057000,5190000,9238000,7671000,7282000,11308000,15158000,18180000,12013000,13372000,15158000,18180000,12013000,13372000,21661000,17637000,14553000,17348000,22281000,19755000,1996000,19109000,24767000,18488000,26881000,22024000,26881000,22163000,12804000,13013000,16059000,23122000,18445000,8533003.69587431,2981000,2030000,-49257000,NA
"156","MITEK SYSTEMS, INC.","US-CA",3577,"Computer Peripheral Equipment, NEC",64142869.4872007,132048482.934411,17810315.8950444,16372801.7775358,-2729999.99894671,-11581999.9946761,38213087.0777525,-9657999.99262838,-646564,25288.6809978495,-800727,569939,325111,64068.8748063656,26275,-2847356,-2008887,-64638.9440729728,-1359642,-2393275,-2052059,-1470730,-1468000,-2193000,-1633000,2000,146000,507000,918000,955000,-322000,582000,739000,960000,-607000,1217000,616000,12866000,-5736000,-1160000,-2784000,-2127000,-3191000,-716000,-99000,3282000,561000,909000,1348000,4996000,2167000,1019000,2985000,1807000,3123000,NA
"157","PHOTRONICS, INC.","US-CT",3674,"Semiconductors & Related Devices",64142869.4875632,132048482.934992,17810315.8945484,16372801.777175,5067000.00011748,4404000.00008543,5249000.00093223,2564104.4833933,7691000,1863526.24453148,12111000,-16438000,11265000,9291000,4268000,8818000,10950000,3832000,2323000,4863000,5940000,4840000,1993000,15540000,4186000,4277000,3837000,10060000,12106000,18622000,21002000,11854000,8088000,5256000,1946000,1797000,4001000,5386000,5898000,10665000,13005000,12487000,5267000,8479000,6347000,9700000,10300000,6284000,10776000,6460000,8036000,10526000,17076000,7237100.74512285,23064000,NA
"158","GOLIATH FILM AND MEDIA HOLDINGS","US-NV",7822,"Services-Motion Picture & Video Tape Distribution",-23997.9998626525,132048482.934412,17810315.8950445,16372801.7775359,8795417.92054836,7866853.8882594,38213087.0777526,148826.88643773,-42147,50024.3745713476,-18435,-112813.838918019,-106148,-44963,-55141,-129013.017451379,-27615,-18582,-11397,-82502.7235876488,-26938,-20092,-19464,-30406.5160092632,-75256,-90317,-47233,26099.0137968084,-8614,-9502,-27275,36054.3400828601,47958,-5513,-17589,2399.58436979361,-1813,-21944,-5576,33780.8124159124,-12060,-11124,3157,60494.3943884592,-12502,-2199,-19,-107197.730216236,-12157,-10957,33660,176829.775583383,-13555,-8119,-6569,NA
"159","Good Times Restaurants Inc.","US-CO",5812,"Retail-Eating  Places",-23992.6948874789,132048482.934412,17810315.8950445,16372801.7775359,8795373.65233169,7866802.98616783,38213087.0777526,148823.466098583,-565000,50024.3476661314,-405000,-399000,-7000,59174.2616595409,-367000,-395000,-13000,-28501.9022047186,-340000,-325000,141000,38690.2993092359,-223000,-480000,162000,-70536.3771085532,-410000,-435000,107000,24304.8796643105,14934.3725100229,36053.4695448007,156840.282017006,31258.8219739859,89324.8556362498,2398.89460251928,9857.74041687456,21572.129442276,-583000,-431000,304000,31147.3068846822,-1051000,-450000,540000,36148.244140889,-811000,-14916000,289000,110205.233868374,802000,1097000,13634000,49358.5220812986,330000,NA
"160","TOYOTA MOTOR CREDIT CORPORATION","US-TX",6141,"Personal Credit Institutions",125993814.726353,70699501.9403212,-2081061.80036615,-76359.3064913415,13445472.4781909,20034726.5657487,46351978.7615145,33920573.8204729,5.7e+08,2.69e+08,6.26e+08,39739363.5679771,4.65e+08,4.51e+08,4.32e+08,1.38e+08,4.77e+08,3.26e+08,2.83e+08,2.45e+08,9.1e+07,2.44e+08,1.93e+08,3.29e+08,3.64e+08,2.91e+08,3.07e+08,2.35e+08,1.35e+08,2.65e+08,3.42e+08,1.9e+08,2.41e+08,1.63e+08,-4.6e+07,-9.1e+07,1.65e+08,1.17e+08,3.076e+09,5.2e+07,9.2e+07,1.94e+08,2.14e+08,2.95e+08,3.59e+08,4.59e+08,1.81e+08,-8.6e+07,3.74e+08,6.55e+08,6.68e+08,3.2e+08,9.21e+08,6.22e+08,7.48e+08,NA
"161","ADM TRONICS UNLIMITED, INC.","US-NJ",3845,"Electromedical & Electrotherapeutic Apparatus",-23997.9998626525,132048482.934412,17810315.8950445,16372801.7775359,8795417.92054836,7866853.8882594,38213087.0777526,148826.88643773,-73317,-200938,-109769,-112813.838918019,-50445,31646,-33606,-129013.017451379,-13827,-89555,-192675,-82502.7235876488,-66238,-53874,32537,-30406.5160092632,35828,129371,114653,26099.0137968084,434228,508503,237075,36054.3400828601,521230,428894,-42621,2399.58436979361,2633,36,-147695,33780.8124159124,22617,118407,-142914,60494.3943884592,52769,-27409,-119545,-107197.730216236,-115736,61911,-67875,176829.775583383,-30672,-37156,-72393,NA
"162","DIGI INTERNATIONAL INC.","US-MN",3576,"Computer Communications Equipment",64142869.4873603,132048482.934667,17810315.8948261,16372801.777377,5066999.99931868,4403999.99916138,5249000.00133624,2564104.48289892,3812000,1863526.24441797,2316000,2239000,3615000,2849000,724000,2122000,2307000,2462000,1230000,1e+06,1528000,2047000,688000,738000,-101000,426000,-339000,1446000,2496000,2985000,6450000,2137000,4277000,3844000,2357000,1331000,1335000,4343000,-4487000,-126000,2904000,3340000,4682000,1342000,1648000,2286000,208000,2004000,1766000,4433000,-307000,2928000,3157000,7237100.74441181,1187000,NA
"163","VERU INC.","US-FL",2834,"Pharmaceutical Preparations",64142869.4872007,132048482.934411,17810315.8950444,16372801.7775358,-2729999.99894671,-11581999.9946761,38213087.0777525,-9657999.99262838,75159,25288.6809978495,386668,80998,416667,64068.8748063656,2659944,1904429,2549743,-64638.9440729728,3533846,3491669,726911,6590172,1464603,375081,1159498,-566121,804917,1667574,1170974,702571,1490363,35045,570258,-1750941,-1366181,-1776642,-789889,-2679335,-4257152,-3831218,-7930508,-643630.272151964,-2148798,-4034035,-2774076,-369612.843073506,-3305101,-810509,-3025380,-257602.269065174,17227701,-2845981,-2692866,168369.26848444,-6380006,NA
"164","CORVEL CORPORATION","US-TX",6411,"Insurance Agents, Brokers & Service",64142869.4872605,132048482.934507,17810315.8949625,16372801.7774762,5067000.0001303,4404000.00009204,5249000.00092756,2564104.48338936,7760000,7533000,6724000,1480523.03081905,8198000,7881000,5400000,5073000,6596000,6630000,5924000,7580000,8609000,8675000,8775000,8333000,8299000,7883000,6832000,5576000,6900000,8267000,6691000,6667000,7491000,6952000,7049000,7987000,8775000,8393000,9569000,8958000,11778000,12789000,10298000,11838000,13407000,12871000,9352000,11747000,2877803.71305016,5153480.44896151,6523516.89863485,6739437.98128745,9125265.3278432,7237100.74511658,7866947.91905085,NA
