"","cik","entityName","loc","2008Q1","2008Q2","2008Q3","2008Q4","2009Q1","2009Q2","2009Q3","2009Q4","2010Q1","2010Q2","2010Q3","2010Q4","2011Q1","2011Q2","2011Q3","2011Q4","2012Q1","2012Q2","2012Q3","2012Q4","2013Q1","2013Q2","2013Q3","2013Q4","2014Q1","2014Q2","2014Q3","2014Q4","2015Q1","2015Q2","2015Q3","2015Q4","2016Q1","2016Q2","2016Q3","2016Q4","2017Q1","2017Q2","2017Q3","2017Q4","2018Q1","2018Q2","2018Q3","2018Q4","2019Q1","2019Q2","2019Q3","2019Q4","2020Q1","2020Q2","2020Q3","2020Q4","2021Q1","2021Q2","2021Q3","2021Q4","2022Q1","2022Q2","2022Q3","2022Q4","2023Q1","2023Q2","2023Q3","2023Q4","2024Q1","2024Q2","2024Q3","2024Q4","sic","sicDescription"
"94","0001170010","CARMAX, INC.","US-VA",NA,NA,NA,NA,NA,NA,102971000,74589000,NA,100225000,107005000,81511000,88754000,125500000,111154000,82110000,95031000,120746000,111636000,94681000,107221000,146651000,140274000,106452000,99209000,169653000,154518000,130049000,143138000,181974000,172228000,128199000,141027000,175360000,162362000,136645000,152603000,211702000,181424000,148840000,122146000,238656000,220890000,190311000,192556000,266744000,233599000,173156000,214934000,4978000,296696000,235300000,NA,436756000,285267000,269438000,NA,252265000,125905000,37580000,NA,228298000,118635000,82003000,NA,152440000,132809000,125441000,5500,"Retail-Auto Dealers & Gasoline Stations"
"95","0001227654","Compass Minerals International, Inc.","US-KS",NA,NA,NA,NA,NA,NA,25700000,NA,58900000,11300000,19300000,61100000,56500000,1.4e+07,34600000,43900000,39900000,9500000,9400000,30100000,46400000,10600000,15400000,58400000,50200000,-7e+05,87900000,80500000,60600000,13200000,2.7e+07,58400000,49700000,6300000,9100000,97600000,21500000,-6400000,3.2e+07,-4400000,12600000,-7600000,12800000,5.1e+07,7600000,-11800000,10600000,56100000,3.4e+07,-3300000,4300000,28100000,-214400000,57100000,-56500000,2400000,-12100000,-7900000,NA,-3e+05,-21600000,36400000,-4e+06,-75300000,-38900000,-43600000,NA,-23600000,1400,"Mining & Quarrying of  Nonmetallic Minerals (No Fuels)"
"96","0001262976","Cimpress plc","IE-",NA,NA,NA,NA,NA,NA,12976000,26948000,16167000,11650000,10781000,34014000,22917000,14397000,8172000,31697000,274000,3851000,-1696000,22960000,5866000,2305000,412000,40875000,1375000,1034000,23694000,63609000,8611000,-3702000,10771000,59319000,-32671000,16930000,-29103000,35028000,-42934000,-34702000,23363000,29935000,-2265000,-7300000,-14639000,69014000,6530000,34147000,20031000,190223000,-84884000,-42005000,-10755000,32287000,-39050000,NA,-6698000,54789000,-71817000,NA,-25441000,-1.4e+08,-49326000,NA,4554000,58105000,-3978000,NA,-12549000,61057000,2750,"Commercial Printing"
"97","0001383312","BROADRIDGE FINANCIAL SOLUTIONS, INC.","US-NY",NA,NA,NA,NA,NA,NA,26400000,33600000,24900000,NA,13300000,10400000,29700000,NA,16700000,6800000,16700000,NA,18300000,15800000,43400000,NA,44400000,27600000,50800000,NA,32500000,34700000,5.4e+07,NA,33500000,40200000,63700000,NA,33700000,30100000,75900000,NA,49900000,62100000,109100000,NA,76700000,49900000,172200000,183200000,55900000,10100000,166800000,229700000,65800000,56300000,1.65e+08,260400000,67200000,47200000,176600000,NA,50400000,57500000,198500000,NA,90900000,70300000,213700000,NA,79800000,142400000,7389,"Services-Business Services, NEC"
"98","0000006281","Analog Devices, Inc.","US-MA",NA,NA,NA,NA,NA,NA,NA,120459000,167140000,199491000,NA,222106000,241826000,219935000,NA,139382000,162899000,169768000,NA,131222000,164472000,176239000,NA,152586000,187433000,180606000,NA,178757000,205338000,216478000,NA,164504000,170573000,230430000,NA,217129000,93564000,68916000,NA,293240000,400328000,408557000,NA,355006000,367937000,362374000,NA,203874000,267696000,362665000,NA,388519000,422905000,503311000,NA,280077000,783273000,748985000,NA,961474000,977656000,877019000,NA,462727000,302242000,392232000,NA,391316000,3674,"Semiconductors & Related Devices"
"99","0000788329","Johnson Outdoors Inc.","US-WI",NA,NA,NA,NA,NA,NA,NA,-4236000,6183000,10432000,-5840000,-1237000,8486000,8118000,17277000,-2944000,7283000,8995000,-3200000,247000,8937000,13654000,-3511000,-2193000,7404000,4698000,-786000,-4194000,3646000,9997000,1167000,-534000,9321000,6841000,-2127000,4056000,13959000,16553000,589000,235000,21620000,23770000,-4956000,3521000,21923000,22066000,3903000,6430000,20387000,12869000,15547000,19847000,27834000,28774000,6926000,10856000,9900000,14082000,9653000,NA,NA,NA,NA,3955000,2156000,1622000,NA,-15290000,3949,"Sporting & Athletic Goods, NEC"
"100","0001003078","MSC INDUSTRIAL DIRECT CO., INC.","US-NY",NA,NA,NA,NA,NA,NA,NA,31420000,30649000,44247000,44057000,47560000,49689000,62086000,59451000,59837000,60068000,70211000,68915000,63187000,56079000,62354000,56375000,59046000,49512000,64696000,62813000,57417000,51527000,63342000,59022000,55029000,49525000,64816000,61846000,54288000,53559000,62836000,60748000,59585000,117552000,79069000,73017000,74232000,68424000,79601000,66608000,65418000,55500000,77703000,52496000,NA,NA,NA,NA,NA,69931000,99657000,NA,81314000,79140000,95180000,NA,69350000,61847000,71705000,NA,46623000,5084,"Wholesale-Industrial Machinery & Equipment"
"101","0001032220","Maximus, Inc.","US-VA",NA,NA,NA,NA,NA,NA,NA,12628000,18743000,17325000,21713000,17482000,18219000,19892000,25575000,17704000,14273000,20485000,23671000,21316000,31689000,28100000,35626000,33859000,41207000,34138000,36236000,41861000,38808000,41666000,35437000,26609000,48785000,52225000,50743000,46664000,52515000,56918000,53329000,59091000,55492000,59861000,46307000,55913000,61924000,62898000,60089000,58734000,27650000,64464000,63661000,64077000,80614000,94495000,NA,53330000,50096000,31335000,NA,39995000,31788000,30863000,NA,64148000,80510000,89752000,NA,41196000,7389,"Services-Business Services, NEC"
"102","0001350593","MUELLER WATER PRODUCTS, INC.","US-GA",NA,NA,NA,NA,NA,NA,NA,-10700000,-23700000,-3800000,-7e+06,-12100000,-13700000,-2700000,-9600000,-11900000,-109800000,9800000,3500000,7e+06,6200000,14100000,13500000,1100000,9700000,18500000,26200000,-20200000,12300000,16500000,22300000,6200000,15700000,15500000,26500000,6700000,73300000,2.4e+07,19300000,55100000,10200000,15300000,2.5e+07,-2.1e+07,10900000,33700000,40200000,10300000,23800000,11200000,26700000,16700000,20900000,14400000,NA,19400000,23600000,26500000,NA,22500000,21300000,24500000,NA,14300000,44300000,47300000,NA,35300000,3490,"Miscellaneous Fabricated Metal Products"
"103","0001371451","HIGHWATER ETHANOL, LLC","US-MN",NA,NA,NA,NA,NA,NA,NA,2483989,-1911230,-640620,2820267,1044647,837477,673093,2588140,965975,-2330276,-1068852,-1691735,-1746420,770314,1565598,4234567,7753542,5985350,4289316,3905968,2378077,-503141,2341036,837566,-1324193,-917215,1066564,1697512,3290175,-308283,503476,33944,-953195,1335482,-2330905,-4210806,-2719712,-2579501,-1248542,-1726481,-2616683,-3951590,366274,-164167,163638,4344633,6074771,3157886,16101488,4687081,10602705,1934131,2331977,1747828,6704583,5954916,825887,-1599187,4799110,2089096,8308,2860,"Industrial Organic Chemicals"
"104","0001423221","QUANEX BUILDING PRODUCTS CORPORATION","US-TX",NA,NA,NA,NA,NA,NA,NA,194000,4313000,10281000,8310000,-4740000,-1389000,9016000,6179000,-6748000,-12285000,1531000,968000,-8118000,-7348000,NA,NA,-3900000,NA,NA,NA,-3071000,NA,NA,NA,-7249000,NA,NA,NA,-3726000,NA,NA,NA,4947000,4136000,10753000,6717000,-3649000,-23974000,11841000,NA,10000,5501000,10833000,NA,7852000,14551000,13679000,NA,11239000,26522000,25908000,NA,1909000,21512000,31698000,NA,6249000,15377000,25350000,NA,-14885000,3350,"Rolling Drawing & Extruding of  Nonferrous Metals"
"105","0001490906","Capitol Federal Financial, Inc.","US-KS",NA,NA,NA,NA,NA,NA,NA,20980000,14655000,16758000,15447000,-11258000,15636000,17259000,16766000,18789000,19315000,18673000,17736000,17563000,17715000,17995000,16067000,17813000,19688000,19983000,20210000,20472000,19234000,19602000,18785000,20718000,21527000,20551000,20698000,20578000,21587000,21370000,20602000,31836000,23330000,22372000,21389000,24383000,24554000,22897000,22409000,22511000,4276000,19474000,18279000,18898000,20444000,18187000,NA,22186000,21623000,21152000,NA,16240000,14189000,8302000,NA,2543000,13762000,9648000,NA,15431000,6035,"Savings Institution, Federally Chartered"
"106","0000765207","FIRST BANCORP, INC","US-ME",NA,NA,NA,NA,NA,NA,NA,NA,2684000,3160000,3195000,NA,2913000,3323000,3223000,3022000,2856000,3242000,3365000,3229000,2856000,3242000,3365000,3502000,3428000,3747000,4108000,3426000,4175000,4074000,4188000,3769000,4503000,4624000,4562000,4320000,4637000,4883000,4982000,5086000,5506000,5734000,5933000,6363000,6156000,6395000,6288000,6686000,6495000,6569000,7095000,6970000,8922000,8787000,9014000,9546000,9705000,9997000,10091000,9197000,7971000,7394000,7474000,6679000,6021000,6171000,7571000,7282000,6021,"National Commercial Banks"
"107","0000775057","ALTEX INDUSTRIES INC","US-CO",NA,NA,NA,NA,NA,NA,NA,NA,-67000,-67000,NA,-82000,-75000,-84000,NA,-106000,-55000,-42000,NA,-70000,-86000,-68000,NA,-70000,-79000,-76000,NA,-73000,-97000,-76000,NA,-90000,-93000,-1e+05,NA,-23000,-46000,-25000,NA,-27000,-15000,-15000,NA,-2000,-6000,27000,NA,-10000,-34000,-31000,NA,-28000,-49000,-31000,-82000,-14000,404000,-29000,313000,-76000,-21000,-18000,NA,-16000,-30000,505000,NA,-116000,1311,"Crude Petroleum & Natural Gas"
"108","0000783412","DAILY JOURNAL CORPORATION","US-CA",NA,NA,NA,NA,NA,NA,NA,NA,1844000,NA,NA,2184000,1842000,1891000,NA,1706000,2044000,208000,NA,834,1151,826,968,-640000,53000,38000,1180000,433000,504000,33000,-160000,50000,207000,-338000,-962000,-1471000,2979000,-1351000,-1075000,-5334000,-972000,-232000,14739000,-21533000,5018000,3823000,-21533000,14210000,-56326000,14274000,NA,59270000,12476000,42573000,NA,6878000,-27813000,-9862000,NA,17827000,9433000,677000,NA,12615000,15415000,23355000,NA,10895000,2711,"Newspapers: Publishing or  Publishing & Printing"
"109","0000879526","WABASH NATIONAL CORPORATION","US-IN",NA,NA,NA,NA,NA,NA,NA,NA,-139079000,-5602000,-1938000,4859000,3197000,3302000,1092000,7451000,5064000,1942000,18441000,80184000,5735000,14135000,16236000,10423000,7296000,16239000,18307000,19088000,10474000,28649000,31880000,33286000,27523000,35532000,33378000,2.3e+07,20173000,22945000,18947000,49357000,21272000,31902000,4664000,11584000,14780000,30960000,25460000,18375000,-106647000,-146000,3887000,5494000,3217000,12252000,11008000,-25313000,12074000,22552000,36170000,41462000,51213000,74328000,55329000,50382000,18167000,28958000,-330166000,-1030000,3715,"Truck Trailers"
"110","0000887343","COLUMBIA BANKING SYSTEM, INC.","US-WA",NA,NA,NA,NA,NA,NA,NA,NA,7916000,5056000,5204000,12608000,5779000,8632000,18872000,14754000,8902000,11899000,11880000,13462000,12176000,14591000,13276000,19973000,19844000,21227000,21583000,18920000,24361000,21946000,25780000,26740000,21259000,25405000,27484000,30718000,29199000,27132000,40769000,15728000,39970000,41749000,46415000,44748000,45871000,51724000,50727000,46129000,14628000,36582000,44734000,58300000,51853000,55039000,53017000,NA,91157000,78591000,84040000,82964000,-14038000,133377000,135845000,93531000,1.24e+08,1.21e+08,1.46e+08,1.43e+08,6022,"State Commercial Banks"
"111","0000890066","GLEN BURNIE BANCORP","US-MD",NA,NA,NA,NA,NA,NA,NA,NA,399000,322000,689000,655000,709000,758000,770000,756000,730,656000,670,609,529,640,795,650,473000,435000,526000,480000,380000,518000,8000,447000,316000,338000,411000,-152000,255000,478000,439000,307000,255000,477685,439045,307000,135000,319000,606000,539000,268000,-96000,949000,547000,594000,479000,888000,555000,231000,309000,375000,830000,435000,275000,552000,167000,3158,-204000,129000,-40000,6022,"State Commercial Banks"
"112","0000935419","RCI HOSPITALITY HOLDINGS, INC.","US-TX",NA,NA,NA,NA,NA,NA,NA,NA,2945000,857000,-12543000,2076000,2923000,888000,1959000,2185000,2117000,1823000,1453000,2647000,2745000,2195000,1604000,2404000,3722000,691000,4423000,3360000,-2841000,8267000,428000,2552000,5505000,2653000,508000,2898000,3759000,3841000,-2239000,14311000,4685000,5389000,-3506000,7463000,6735000,5638000,458000,5634000,-3452000,-5474000,-2793000,9643000,6091000,12302000,2300000,10575000,10952000,13902000,10612000,10238000,7732000,9085000,2191000,7226000,774000,-5233000,244000,9024000,5812,"Retail-Eating  Places"
"113","0000946673","BANNER CORPORATION","US-WA",NA,NA,NA,NA,NA,NA,NA,NA,-1517000,-4946000,-42742000,-12691000,-7842000,2199000,6030000,5070000,9184000,25390000,15620000,14688000,11584000,11668000,11536000,11426000,10549000,16987000,14821000,11713000,12134000,13249000,12947000,6893000,17774000,20957000,23851000,22804000,23793000,25454000,25077000,-13548000,28790000,32424000,37773000,37528000,33346000,39700000,39577000,33655000,16882000,23541000,36548000,38957000,46855000,54382000,49884000,49927000,43963000,47965000,49070000,54380000,55555000,39591000,45854000,42624000,37559000,39795000,45153000,46391000,6022,"State Commercial Banks"
"114","0001050743","PEAPACK-GLADSTONE FINANCIAL CORPORATION","US-NJ",NA,NA,NA,NA,NA,NA,NA,NA,2125000,1756000,1906000,1877000,2141000,2168000,5332000,2527000,3083000,2723000,2832000,1058000,2893000,2009000,1964000,2395000,3031000,3783000,3864000,4212000,5008000,5238000,5383000,4343000,5489000,6564000,7116000,7308000,7982000,7940000,10206000,10369000,10807000,11910000,10724000,10729000,11425000,11550000,12226000,12233000,1373000,8242000,13547000,3030000,13178000,14418000,14171000,14855000,13441000,20100000,20126000,20579000,18355000,13145000,8755000,8599000,8631000,7530000,7587000,9240000,6029,"Commercial Banks, NEC"
"115","0001075736","Crexendo, Inc.","US-AZ",NA,NA,NA,NA,NA,NA,NA,NA,123000,51000,-79000,NA,-1851000,-9345000,4507000,459000,197000,-117000,-806000,-3215000,-398000,-1070000,-1659000,-1836000,-1632000,-1494000,-1502000,-1748000,-1170000,-1060000,-1043000,-1268000,-868000,-778000,-621000,-525000,-515000,-256000,-190000,32000,-63000,47000,-199000,-8000,239000,338000,334000,228000,140000,508000,131000,7161000,-715000,-1003000,-125000,-602000,-1220000,-896000,-696000,-32601000,-1582000,-545000,1704000,61000,434000,588000,148000,507000,4813,"Telephone Communications (No Radiotelephone)"
"116","0001441236","CLEARWATER PAPER CORPORATION","US-WA",NA,NA,NA,NA,NA,NA,NA,NA,458000,20568000,14988000,37786000,5604000,13923000,8645000,11502000,3726000,21489000,19064000,19852000,-882000,11658000,13317000,82862000,6226000,12453000,6253000,-27247000,5757000,15597000,23064000,11565000,18446000,20864000,901000,9343000,7515000,8037000,863000,80924000,2600000,6961000,34444000,-187772000,3800000,-4e+05,-1.1e+07,NA,10300000,22800000,21400000,NA,12100000,-51600000,1900000,NA,16600000,14700000,20600000,NA,23800000,29700000,36600000,17600000,17200000,-25800000,5800000,199100000,2631,"Paperboard Mills"
"117","0001486957","BWX TECHNOLOGIES, INC.","US-VA",NA,NA,NA,NA,NA,NA,NA,NA,16843000,47640000,35887000,52892000,25921000,58665000,56742000,-63009000,59950000,77231000,51443000,39071000,47174000,72870000,60446000,165588000,45044000,26437000,61214000,-103307000,45257000,-17147000,103870000,-515000,49631000,58372000,41062000,33992000,55719000,61263000,46553000,-15691000,66441000,60663000,77919000,21935000,48978000,58878000,74810000,61449000,75499000,64258000,73171000,65742000,69749000,59347000,59914000,116861000,59010000,74613000,61603000,42965000,61092000,58597000,60273000,65887000,68468000,72972000,69483000,71018000,3510,"Engines & Turbines"
"118","0000003545","ALICO, INC.","US-FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,2288000,NA,-93000,2712000,5971000,-1493000,1933000,7414000,9607000,-465000,1038000,2773000,4079000,11756000,-704000,4697000,1031000,4009000,5206000,4226000,9176000,-5425000,-3019000,8724000,4670000,-3416000,-1735000,5833000,5479000,-19028000,8746000,-5514000,9100000,718000,-2467000,7547000,16244000,16509000,791000,3571000,2096000,17204000,3845000,4867000,27119000,-972000,10131000,20702000,2706000,-21080000,-3150000,-7787000,11832000,NA,42945000,-15804000,-2044000,NA,-9167000,100,"Agricultural Production-Crops"
"119","0000009092","BADGER METER, INC.","US-WI",NA,NA,NA,NA,NA,NA,NA,NA,NA,8029000,9023000,NA,3260000,7834000,6880000,1187000,6249000,7442000,8857000,5484000,2907000,6281000,9049000,6380000,4632000,8814000,10231000,6001000,4227000,7901000,8327000,5483000,7990000,9400000,8792000,6113000,8749000,10614000,7975000,7233000,7546000,6154000,2851000,11239000,10824000,11358000,12721000,12274000,11854000,9534000,14861000,13094000,13781000,13972000,15855000,17276000,14360000,16664000,17933000,17539000,19415000,22493000,25969000,24721000,29131000,33056000,32038000,30717000,3824,"Totalizing Fluid Meters & Counting Devices"
"120","0000014846","BRT APARTMENTS CORP.","US-NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,-2971000,NA,NA,NA,3172000,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2733000,-2592000,-331000,NA,-2498000,-748000,-2578000,3436000,-2034000,24936000,5480000,2907000,15770000,-4229000,-3402000,5461000,6351000,25222000,-4689000,-3111000,8073000,-4247000,-4317000,3272000,6148000,-4831000,-4246000,-7484000,-3301000,-3765000,6027000,28106000,-1254000,11508000,35607000,7059000,-4219000,-4098000,11202000,-1494000,-1737000,-3171000,-2345000,-2205000,-2070000,6798,"Real Estate Investment Trusts"
"121","0000024090","CITIZENS, INC.","US-TX",NA,NA,NA,NA,NA,NA,NA,NA,NA,3185000,1666000,NA,1622000,3009000,2053000,1798000,1512000,403000,2911000,-297000,856000,1307000,1824000,806000,1197000,1150000,2324000,-11176000,572000,-1767000,250000,-2197000,-2391000,1482000,2762000,116000,2056000,572000,3449000,-44204000,37000,-2558000,-7109000,-1432000,-3802000,-4565000,2046000,4951000,-3584000,-1027000,-7915000,1538000,-3573000,5022000,-2799000,38137000,6449000,2492000,3407000,13659000,4872000,6126000,2698000,10741000,4542000,3959000,2790000,3621000,6311,"Life Insurance"
"122","0000025895","Crown Crafts, Inc.","US-LA",NA,NA,NA,NA,NA,NA,NA,NA,NA,726000,1214000,775000,NA,5039000,1067000,1548000,NA,897000,755000,1604000,NA,822000,1142000,1779000,NA,703000,830000,2046000,NA,927000,1565000,2143000,NA,1103000,999000,1861000,NA,518000,725000,531000,NA,264000,1809000,1554000,NA,1079000,1779000,2095000,NA,1215000,2487000,NA,NA,NA,NA,2432000,NA,NA,NA,1348000,NA,NA,NA,1702000,NA,NA,NA,893000,2211,"Broadwoven Fabric Mills, Cotton"
"123","0000032621","EMERSON RADIO CORP","US-NJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,5879000,3223000,4184000,NA,3337000,1763000,3171000,NA,3840000,1947000,1693000,NA,1369000,388000,-1381000,NA,651000,47000,2854000,NA,121000,-710000,-66000,NA,-54000,165000,448000,NA,-890000,-1042000,-1171000,NA,-850000,-595000,NA,NA,-987000,-876000,-988000,NA,-1125000,-956000,-945000,NA,-915000,-632000,-1164000,NA,-1077000,-153000,-241000,NA,-565000,2635000,-421000,NA,-962000,-881000,-527000,3651,"Household Audio & Video Equipment"
"124","0000036840","FIRST REAL ESTATE INVESTMENT TRUST OF NEW JERSEY, INC.","US-NJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,1376000,NA,1019000,1320000,1505000,1534000,1193000,1943000,-223000,8438000,1471000,1870000,911000,3197000,9625000,833000,555000,644000,1048000,532000,968000,83000,1002000,809000,1246000,-52000,63000,-699000,13754000,-2000,-357000,1115000,292000,433000,459000,786000,199000,343000,-2262000,27220000,-181000,-4224000,NA,NA,NA,NA,45777000,-352000,1121000,-554000,419000,97000,-412000,656000,-512000,533000,14791000,1040000,614000,6798,"Real Estate Investment Trusts"
"125","0000039020","FREQUENCY ELECTRONICS, INC.","US-NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,507000,328000,508000,NA,1344000,776000,1074000,NA,768000,1441000,1520000,NA,676000,1391000,1218000,NA,719000,1289000,878000,NA,891000,-69000,282000,NA,-706000,-1024000,338000,NA,614000,-1481000,-10396000,NA,31000,122000,-321000,NA,-591000,-4909000,-1546000,NA,-262000,329000,-8e+05,NA,-1575000,497000,-735000,NA,-3117000,-2314000,-316000,NA,2042000,797000,130000,NA,2430000,2654000,15405000,3825,"Instruments For Meas & Testing of  Electricity & Elec Signals"
"126","0000040570","GEE GROUP INC.","US-FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,-137000,NA,15000,-104000,222000,NA,23000,-515000,80000,NA,186000,-826000,-228000,NA,-227000,-727000,-634000,NA,-3407000,-45000,118000,NA,-394000,7000,528000,NA,51000,-129000,-6020000,NA,-1791000,-2878000,-1887000,NA,-3452000,-3890000,-6834000,NA,-3563000,-5428000,7195000,NA,-315000,-1735000,-937000,NA,16668000,1087000,2633000,NA,654000,658000,7876000,NA,-1555000,-1008000,-19286000,NA,-692000,7361,"Services-Employment Agencies"
"127","0000050292","IEH Corporation","US-NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,394868,210265,397898,NA,347655,257275,281328,NA,315114,202400,255092,NA,524319,482241,190554,NA,387212,420197,594339,NA,746603,135422,423677,NA,337596,536651,322778,NA,305622,564660,474908,NA,2259285,946304,788880,NA,909533,-1216311,972085,NA,474237,1396948,1035999,NA,2343588,-242227,-204982,NA,-2903776,-1445342,-838401,NA,-1315902,-1100603,-926053,NA,392787,246443,-61640,3678,"Electronic Connectors"
"128","0000057131","LA-Z-BOY INCORPORATED","US-MI",NA,NA,NA,NA,NA,NA,NA,NA,NA,-216000,3945000,10010000,NA,45536000,7870000,14958000,NA,4398000,6619000,17064000,NA,9590000,16744000,16483000,NA,13081000,19529000,17948000,NA,13676000,20952000,21906000,NA,13806000,20833000,23286000,NA,11651000,22896000,12109000,NA,18303000,20012000,28731000,NA,18069000,22593000,34512000,NA,4798000,34935000,29232000,NA,24566000,39516000,28467000,NA,38488000,46077000,31726000,NA,27479000,27199000,28640000,NA,26159000,30037000,28429000,2510,"Household Furniture"
"129","0000065270","METHODE ELECTRONICS, INC.","US-IL",NA,NA,NA,NA,NA,NA,NA,NA,NA,4065000,-513000,5883000,NA,1494000,311000,809000,5769000,3900000,23300000,3300000,10200000,13600000,19800000,14600000,48100000,21400000,2.6e+07,27100000,26600000,23500000,21200000,17200000,22700000,21200000,24900000,23700000,23100000,20500000,24200000,-24300000,36800000,23700000,14600000,30700000,22600000,28300000,23800000,41200000,30100000,28300000,38600000,31900000,31100000,29100000,27500000,29400000,16200000,21500000,27600000,19900000,NA,9e+05,-55300000,-11600000,NA,-18300000,-1600000,-14400000,3678,"Electronic Connectors"
"130","0000069891","National Beverage Corp.","US-FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,12053000,10207000,7407000,NA,13435000,11123000,7904000,11531000,14392000,12017000,8414000,12097000,12070000,12497000,7136000,11932000,15363000,12958000,8808000,12182000,17113000,15312000,11236000,17537000,28995000,24604000,24285000,29161000,38272000,33980000,41080000,36442000,48830000,41077000,24811000,26135000,34542000,32654000,26563000,36213000,51164000,47164000,36687000,39131000,53816000,39284000,31068000,NA,35454000,36046000,34361000,NA,49631000,43788000,39592000,NA,56780000,45637000,39643000,2086,"Bottled & Canned Soft Drinks & Carbonated Waters"
"131","0000072573","MOVADO GROUP, INC.","US-NJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,-20908000,17145000,NA,491000,4408000,16404000,10692000,6633000,8058000,34473000,7919000,8210000,12454000,23019000,7193000,7365000,12151000,22209000,10051000,3622000,12053000,21532000,7888000,3308000,6306000,20215000,5232000,-4159000,5482000,17360000,-33908000,8115000,9140000,26922000,17447000,3925000,17505000,17765000,3504000,-149993000,-6615000,14825000,NA,9409000,19410000,31405000,NA,18513000,24003000,29286000,NA,9754000,6538000,15216000,9837000,2015000,3469000,4827000,8053000,3873,"Watches, Clocks, Clockwork Operated Devices/Parts"
"132","0000078749","AGILYSYS, INC.","US-GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,-10252000,-2214000,1998000,NA,-6228000,6933000,-6509000,-16979000,-1792000,-351000,516000,329000,1316000,20453000,-2663000,-2009000,-2229000,-1127000,-2715000,-5426000,-2297000,-2400000,-1737000,-5287000,-2958000,-3248000,-1934000,-210000,-2958000,-3248000,-1934000,-210000,-1736000,-3791000,-4048000,-3589000,-1575000,-2918000,-2582000,-26992000,-517000,5867000,-2070000,NA,1972000,982000,1542000,NA,3039000,3576000,3892000,NA,1548000,4545000,77141000,NA,14106000,1364000,3830000,7373,"Services-Computer Integrated Systems Design"
"133","0000080172","NATIONAL PRESTO INDUSTRIES INC","US-WI",NA,NA,NA,NA,NA,NA,NA,NA,NA,14975000,13213000,NA,11363000,10817000,12386000,13402000,9344000,8703000,9401000,11427000,6854000,8301000,9015000,17082000,4690000,4171000,5123000,12493000,8109000,9120000,8111000,15156000,7211000,8274000,8304000,20775000,18155000,9712000,8332000,16760000,10986000,10775000,6371000,11808000,5951000,8156000,16389000,11724000,8222000,12657000,12138000,13941000,8993000,9292000,4129000,3240000,2915000,6684000,8927000,2173000,8878000,5503000,7019000,13159000,6568000,6077000,8083000,20732000,3480,"Ordnance & Accessories, (No Vehicles/Guided Missiles)"
"134","0000080420","Powell Industries, Inc.","US-TX",NA,NA,NA,NA,NA,NA,NA,NA,NA,10286000,NA,2432000,1733000,73000,-6953000,-1745000,7411000,12138000,11853000,7385000,6818000,9305000,18568000,8255000,15593000,2947000,2429000,-239000,-3683000,7049000,6312000,-459000,5567000,4894000,5508000,-3e+05,-829000,-3215000,-5142000,-5662000,-3330000,301000,1539000,-2695000,958000,5089000,6538000,2775000,7421000,3481000,2983000,-364000,-225000,-2041000,3261000,-2846000,-1217000,9061000,8739000,1162000,8473000,18454000,26436000,24085000,33488000,46223000,46052000,34763000,3613,"Switchgear & Switchboard Apparatus"
"135","0000090168","SIFCO Industries, Inc.","US-OH",NA,NA,NA,NA,NA,NA,NA,NA,NA,984000,NA,1206000,1995000,2064000,2184000,1186000,1724000,2441000,1197000,3415000,1435000,2478000,2906000,947000,1426000,1907000,743000,-1408000,-64000,-1007000,-393000,-2598000,-299000,-1050000,NA,-2609000,-1657000,-6202000,NA,-911000,-2038000,-1532000,NA,-1282000,-1258000,-7370000,NA,-1342000,3260000,2250000,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2589000,-2367000,-634000,-3102000,-3422000,-1590000,72000,-443000,-2316000,3724,"Aircraft Engines & Engine Parts"
"136","0000096885","TEL-INSTRUMENT ELECTRONICS CORP.","US-NJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,-275412,-87994,29012,NA,-80795,103316,97431,-48936,-668800,-429705,-545177,-1128889,-85772,-72474,-145933,565707,-384005,-248195,-20944,372704,279066,199466,226586,299035,410309,272055,141513,-5583316,-286091,-2920589,-333436,-782195,-746073,-191410,639453,501068,257776,536234,907577,NA,110980,222748,499633,NA,575501,999676,194622,NA,-232869,-477368,392627,NA,295292,-435153,133809,NA,42248,-814594,-456483,3670,"Electronic Components & Accessories"
