year,cik,entityName,loc,sicDescription,pred_cluster,yearly_gross
2023,1477246,S&W SEED CO,US-CO,Agricultural Production-Crops,1,0.518202490000002
2024,866273,MATRIX SERVICE CO,US-OK,Construction - Special Trade Contractors,1,-0.4391799999999999
2022,1002590,"STAR GROUP, L.P.",US-CT,"Retail-Retail Stores, NEC",6,0.343379999999999
2022,1069899,Phibro Animal Health Corporation,US-NJ,Pharmaceutical Preparations,2,0.46443999999999996
2024,1302215,"Houlihan Lokey, Inc.",US-CA,Investment Advice,3,3.485940000000002
2021,3545,"ALICO, INC.",US-FL,Agricultural Production-Crops,1,0.41145
2022,1408534,"FIRST GUARANTY BANCSHARES, INC.",US-LA,"Savings Institution, Federally Chartered",8,0.2888399999999997
2024,1046257,INGREDION INCORPORATED,US-IL,Grain Mill Products,1,6.469999999999999
2024,1423221,QUANEX BUILDING PRODUCTS CORPORATION,US-TX,Rolling Drawing & Extruding of  Nonferrous Metals,1,0.5119199999999999
2024,3545,"ALICO, INC.",US-FL,Agricultural Production-Crops,1,-0.29059
2022,1390777,THE BANK OF NEW YORK MELLON CORPORATION,US-NY,State Commercial Banks,4,25.72999999999992
2023,1350156,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,CA-AB,"Retail-Home Furniture, Furnishings & Equipment Stores",6,-0.00159004
2021,1262104,"MEI Pharma, Inc.",US-CA,Pharmaceutical Preparations,2,-0.8091
2024,817720,SYNAPTICS INCORPORATED,US-CA,Semiconductors & Related Devices,7,-0.575
2022,6281,"Analog Devices, Inc.",US-MA,Semiconductors & Related Devices,7,32.42716999999995
2024,95029,"STURM, RUGER & COMPANY, INC.",US-CT,"Ordnance & Accessories, (No Vehicles/Guided Missiles)",1,0.30563000000000007
2023,1479681,NUTEX HEALTH INC.,US-TX,"Services-Business Services, NEC",9,-0.45786614000000014
2024,915358,"SIGMATRON INTERNATIONAL, INC.",US-IL,Printed Circuit Boards,7,-0.12247742000000009
2022,1171838,"SUNDANCE STRATEGIES, INC.",US-UT,"Insurance Agents, Brokers & Service",3,-0.01454919
2024,1538495,"EARTH SCIENCE TECH, INC.",US-FL,Pharmaceutical Preparations,2,0.02306476
2024,73290,"BIOMERICA, INC.",US-CA,In Vitro & In Vivo Diagnostic Substances,2,-0.06102
2022,1504008,"BankUnited, Inc.",US-FL,"Savings Institution, Federally Chartered",8,2.849709999999999
2024,874015,"IONIS PHARMACEUTICALS, INC.",US-CA,Pharmaceutical Preparations,2,-4.538970000000001
2023,1071840,"SOLARWINDOW TECHNOLOGIES, INC.",US-AZ,Industrial Organic Chemicals,2,-0.02137567
2023,896156,Ethan Allen Interiors Inc.,US-CT,"Wood Household Furniture, (No Upholstered)",1,0.7706200000000001
2021,750558,QNB Corp.,US-PA,State Commercial Banks,4,0.1649199999999999
2021,1630113,BIOTRICITY INC.,US-CA,Surgical & Medical Instruments & Apparatus,1,-0.2741888300000001
2022,711377,Neogen Corporation,US-MI,In Vitro & In Vivo Diagnostic Substances,2,-0.2574600000000003
2023,1126741,GSI TECHNOLOGY INC,US-CA,Semiconductors & Related Devices,7,-0.2057799999999999
2022,110621,RPM INTERNATIONAL INC/DE/,US-OH,"Paints, Varnishes, Lacquers, Enamels & Allied Prods",1,3.66395
2021,1224608,"CNO Financial Group, Inc.",US-IN,Accident & Health Insurance,9,4.410000000000001
2024,1320414,SELECT MEDICAL HOLDINGS CORP,US-PA,Services-Hospitals,9,2.14038
2023,836157,Lindsay Corporation,US-NE,Farm Machinery & Equipment,1,0.6683300000000001
2024,1382230,"ESSA Bancorp, Inc.",US-PA,"Savings Institutions, Not Federally Chartered",8,0.16346
2024,78814,PITNEY BOWES INC.,US-CT,"Office Machines, NEC",1,-7.0888100000000005
2024,1381668,TFS FINANCIAL CORPORATION,US-OH,"Savings Institution, Federally Chartered",8,0.83045
2021,788920,"PRO-DEX, INC.",US-CA,Surgical & Medical Instruments & Apparatus,1,0.0543
2023,1584509,Aramark,US-PA,Retail-Eating  Places,6,7.61545
2022,1359841,Hanesbrands Inc.,US-NC,Retail-Apparel & Accessory Stores,6,-1.2720399999999898
2024,939930,"Pyxus International, Inc.",US-NC,Wholesale-Farm Product Raw Materials,1,0.24147999999999992
2021,1110803,"Illumina, Inc.",US-CA,Laboratory Analytical Instruments,1,7.6199999999999894
2024,1314052,ANAVEX LIFE SCIENCES CORP.,US-NY,"Biological Products, (No Diagnostic Substances)",2,-0.47085
2022,1050743,PEAPACK-GLADSTONE FINANCIAL CORPORATION,US-NJ,"Commercial Banks, NEC",4,0.74246
2022,1005731,IDT CORPORATION,US-NJ,Telephone Communications (No Radiotelephone),9,0.3516699999999998
2021,1106838,"SONNET BIOTHERAPEUTICS HOLDINGS, INC.",US-NJ,Pharmaceutical Preparations,2,-0.2447116999999999
2021,25895,"Crown Crafts, Inc.",US-LA,"Broadwoven Fabric Mills, Cotton",1,0.09893
2021,96793,"SUNLINK HEALTH SYSTEMS, INC.",US-GA,"Services-General Medical & Surgical Hospitals, NEC",9,0.0028399999999999996
2024,810136,"PHOTRONICS, INC.",US-CT,Semiconductors & Related Devices,7,1.478780000000001
2021,15357,CHASE GENERAL CORP,US-MO,Sugar & Confectionery Products,2,-0.00019355000000000002
2022,2969,"AIR PRODUCTS AND CHEMICALS, INC.",US-PA,Industrial Inorganic Chemicals,2,22.66899999999995
2023,67887,MOOG Inc.,US-NY,Misc Industrial & Commercial Machinery & Equipment,1,1.7559900000000002
2022,717423,MURPHY OIL CORPORATION,US-TX,Crude Petroleum & Natural Gas,0,9.64999999999997
2023,102037,UNIVERSAL CORPORATION,US-VA,Wholesale-Farm Product Raw Materials,1,1.209400000000001
2024,896429,"Cantaloupe, Inc.",US-PA,Calculating & Accounting Machines (No Electronic Computers),1,0.1785799999999998
2021,66740,3M COMPANY,US-MN,Surgical & Medical Instruments & Apparatus,1,60.160000000000004
2021,70502,NATIONAL RURAL UTILITIES COOPERATIVE FINANCE CORPORATION,US-VA,Miscellaneous Business Credit Institution,8,8.006719999999978
2024,807863,"MITEK SYSTEMS, INC.",US-CA,"Computer Peripheral Equipment, NEC",7,-0.038980000000000105
2024,1327567,"PALO ALTO NETWORKS, INC",US-CA,"Computer Peripheral Equipment, NEC",7,11.75599999999996
2023,891166,"UNIVERSAL INSURANCE HOLDINGS, INC.",US-FL,"Fire, Marine & Casualty Insurance",1,0.6682300000000001
2024,80420,"Powell Industries, Inc.",US-TX,Switchgear & Switchboard Apparatus,7,1.60526
2023,1467373,Accenture plc,IE-,"Services-Business Services, NEC",9,68.80051
2024,1300514,LAS VEGAS SANDS CORP.,US-NV,Hotels & Motels,9,14.45999999999998
2023,900075,"COPART, INC.",US-TX,Retail-Auto Dealers & Gasoline Stations,6,13.59023999999996
2021,1177609,"Five Below, Inc.",US-PA,Retail-Variety Stores,6,2.7881
2023,1005210,SUBURBAN PROPANE PARTNERS LP,US-NJ,Retail-Miscellaneous Retail,6,1.1840900000000003
2023,1414382,"Concrete Leveling Systems, Inc.",US-OH,Misc Industrial & Commercial Machinery & Equipment,1,-0.0005739
2024,723125,"Micron Technology, Inc.",US-ID,Semiconductors & Related Devices,7,33.26999999999995
2022,946581,"TAKE-TWO INTERACTIVE SOFTWARE, INC.",US-NY,Services-Prepackaged Software,5,-3.6979999999999906
2024,704172,"PHI GROUP, INC.",US-CA,Services-Management Services,9,-0.05406799
2023,792966,"FARMERS & MERCHANTS BANCORP, INC.",US-OH,"Savings Institution, Federally Chartered",8,0.2278699999999998
2022,946673,BANNER CORPORATION,US-WA,State Commercial Banks,4,1.953780000000001
2023,935419,"RCI HOSPITALITY HOLDINGS, INC.",US-TX,Retail-Eating  Places,6,0.26234
2024,863894,VERU INC.,US-FL,Pharmaceutical Preparations,2,-0.40909043
2022,827054,MICROCHIP TECHNOLOGY INCORPORATED,US-AZ,Semiconductors & Related Devices,7,19.864999999999952
2022,896878,INTUIT INC.,US-CA,Services-Prepackaged Software,5,37.9599999999998
2024,1262976,Cimpress plc,IE-,Commercial Printing,6,0.40552000000000094
2021,1126741,GSI TECHNOLOGY INC,US-CA,Semiconductors & Related Devices,7,-0.18339
2021,69422,THE INTERGROUP CORPORATION,US-CA,Operators of  Apartment Buildings,9,-0.01944
2024,6845,"APOGEE ENTERPRISES, INC.",US-MN,"Glass Products, Made of  Purchased Glass",1,1.0954
2021,720762,NON INVASIVE MONITORING SYSTEMS INC /FL/,US-FL,Electromedical & Electrotherapeutic Apparatus,1,-0.00157
2022,746514,New England Realty Associates Limited Partnership,US-MA,Operators of  Apartment Buildings,9,0.03723272999999999
2021,771497,ABM INDUSTRIES INCORPORATED,US-NY,Services-To Dwellings & Other Buildings,9,2.352999999999997
2022,1136893,"Fidelity National Information Services, Inc.",US-FL,"Services-Business Services, NEC",9,-167.19000000000003
2024,820771,GOLIATH FILM AND MEDIA HOLDINGS,US-NV,Services-Motion Picture & Video Tape Distribution,9,0.00028062
2022,775057,ALTEX INDUSTRIES INC,US-CO,Crude Petroleum & Natural Gas,0,0.0061200000000000004
2022,12208,"BIO-RAD LABORATORIES, INC.",US-CA,Laboratory Analytical Instruments,1,-36.27500000000001
2023,1110803,"Illumina, Inc.",US-CA,Laboratory Analytical Instruments,1,-11.60999999999999
2023,720875,Dynatronics Corporation,US-MN,Surgical & Medical Instruments & Apparatus,1,-0.03833056
2023,875582,NORTHERN TECHNOLOGIES INTERNATIONAL CORPORATION,US-MN,"Coating, Engraving & Allied Services",1,0.03426198000000001
2023,949961,"Income Opportunity Realty Investors, Inc.",US-TX,Real Estate Investment Trusts,3,0.07001
2024,1529377,ARES COMMERCIAL REAL ESTATE CORPORATION,US-NY,Real Estate Investment Trusts,3,-0.34993
2022,1016178,"CARVER BANCORP, INC.",US-NY,"Savings Institution, Federally Chartered",8,-0.02205000000000001
2021,1130144,SIERRA BANCORP,US-CA,State Commercial Banks,4,0.4301200000000001
2023,37472,"FLEXSTEEL INDUSTRIES, INC.",US-IA,Household Furniture,1,0.15439
2024,66756,"ALLETE, Inc.",US-MN,Electric & Other Services Combined,9,1.7930000000000001
2022,1074871,"MODULAR MEDICAL, INC.",US-CA,Surgical & Medical Instruments & Apparatus,1,-0.15148307
2023,1171155,"RADIANT LOGISTICS, INC.",US-WA,Arrangement of  Transportation of  Freight & Cargo,1,0.11973
2024,1405528,"United States 12 Month Oil Fund, LP",US-CA,Commodity Contracts Brokers & Dealers,3,0.0505674399999999
2022,1415744,NORTHERN MINERALS & EXPLORATION LTD.,US-UT,Gold and Silver Ores,1,-0.00144341
2024,920427,"Unity Bancorp, Inc.",US-NJ,State Commercial Banks,4,0.41450000000000004
2022,16058,CACI International Inc,US-VA,Services-Computer Integrated Systems Design,5,3.6705999999999968
2023,1371451,"HIGHWATER ETHANOL, LLC",US-MN,Industrial Organic Chemicals,2,0.15233213999999992
2022,1604028,"ADVANCED DRAINAGE SYSTEMS, INC.",US-OH,Plastics Foam Products,1,4.948710000000001
2022,318299,"SPARTA COMMERCIAL SERVICES, INC.",US-NY,"Services-Business Services, NEC",9,0.01620793
2023,1625288,"NEXIEN BIOPHARMA, INC.",US-CO,Pharmaceutical Preparations,2,-0.0025914200000000023
2023,889971,"LIGHTPATH TECHNOLOGIES, INC.",US-FL,Semiconductors & Related Devices,7,-0.05382579
2022,55242,KENNAMETAL INC.,US-PA,"Machine Tools, Metal Cutting Types",1,1.20685
2022,820771,GOLIATH FILM AND MEDIA HOLDINGS,US-NV,Services-Motion Picture & Video Tape Distribution,9,-0.0003932599999999999
2022,1114925,"LANTRONIX, INC.",US-CA,Computer Communications Equipment,7,-0.10642
2024,896878,INTUIT INC.,US-CA,Services-Prepackaged Software,5,54.45999999999998
2023,1606757,"KIMBALL ELECTRONICS, INC.",US-IN,Printed Circuit Boards,7,0.5184399999999999
2024,1295947,PRESTIGE CONSUMER HEALTHCARE INC.,US-NY,Pharmaceutical Preparations,2,2.1752299999999973
2024,1175535,Whitestone REIT,US-TX,Real Estate Investment Trusts,3,0.3689300000000001
2021,723125,"Micron Technology, Inc.",US-ID,Semiconductors & Related Devices,7,63.78999999999989
2022,1341439,Oracle Corporation,US-TX,Services-Prepackaged Software,5,79.2699999999999
2021,1618921,"WALGREENS BOOTS ALLIANCE, INC.",US-IL,Retail-Drug Stores and Proprietary Stores,6,64.2999999999999
2022,730464,Adtalem Global Education Inc.,US-IL,Services-Educational Services,9,3.80998999999999
2024,1130144,SIERRA BANCORP,US-CA,State Commercial Banks,4,0.4056
2024,1075736,"Crexendo, Inc.",US-AZ,Telephone Communications (No Radiotelephone),9,0.01677
2023,1633978,Lumentum Holdings Inc.,US-CA,"Communications Equipment, NEC",7,-2.4559999999999977
2024,1006028,"PURE Bioscience, Inc.",US-CA,Miscellaneous Chemical Products,2,-0.032009999999999976
2023,828530,ADMIRAL FINANCIAL CORP.,US-FL,"Savings Institution, Federally Chartered",8,0.0
2023,1499961,MULLEN AUTOMOTIVE INC.,US-CA,Motor Vehicles & Passenger Car Bodies,1,-7.94024684
2024,1171838,"SUNDANCE STRATEGIES, INC.",US-UT,"Insurance Agents, Brokers & Service",3,-0.01328888
2021,1262976,Cimpress plc,IE-,Commercial Printing,6,-0.3000900000000001
2024,1071840,"SOLARWINDOW TECHNOLOGIES, INC.",US-AZ,Industrial Organic Chemicals,2,-0.04323722
2023,915358,"SIGMATRON INTERNATIONAL, INC.",US-IL,Printed Circuit Boards,7,-0.22188297
2021,102037,UNIVERSAL CORPORATION,US-VA,Wholesale-Farm Product Raw Materials,1,0.9408000000000001
2021,16058,CACI International Inc,US-VA,Services-Computer Integrated Systems Design,5,4.3572900000000025
2023,911216,"PALATIN TECHNOLOGIES, INC.",US-NJ,Pharmaceutical Preparations,2,-0.3038869700000001
2023,38264,"Forward Industries, Inc.",US-NY,"Plastics Products, NEC",1,-0.00999826
2024,712770,"ONE LIBERTY PROPERTIES, INC.",US-NY,Real Estate Investment Trusts,3,0.55418
2024,1265131,Hilltop Holdings Inc.,US-TX,State Commercial Banks,4,1.13213
2023,1046257,INGREDION INCORPORATED,US-IL,Grain Mill Products,1,6.430000000000001
2022,849401,"ADM TRONICS UNLIMITED, INC.",US-NJ,Electromedical & Electrotherapeutic Apparatus,1,0.00082755
2022,779544,ARK RESTAURANTS CORP.,US-NY,Retail-Eating  Places,6,0.1328999999999998
2023,868857,AECOM,US-TX,Services-Engineering Services,9,-0.9834900000000021
2023,789019,MICROSOFT CORPORATION,US-WA,Services-Prepackaged Software,5,807.589999999999
2024,54187,MAYS J W INC,US-NY,Opeators of  Nonresidential Buildings,1,-0.0030078400000000003
2023,65312,"EVI Industries, Inc.",US-FL,Services-Personal Services,9,0.08123
2023,935703,"DOLLAR TREE, INC.",US-VA,Retail-Variety Stores,6,-9.98400000000002
2023,794619,American Woodmark Corp,US-VA,"Millwood, Veneer, Plywood, & Structural Wood Members",1,1.04146
2022,1486957,"BWX TECHNOLOGIES, INC.",US-VA,Engines & Turbines,1,2.381909999999999
2024,912767,"UFP INDUSTRIES, INC.",US-MI,"Sawmills & Planting Mills, General",1,4.145600000000003
2024,57131,LA-Z-BOY INCORPORATED,US-MI,Household Furniture,1,1.13265
2023,66004,MIDDLESEX WATER COMPANY,US-NJ,Water Supply,0,0.3152400000000003
2022,66740,3M COMPANY,US-MN,Surgical & Medical Instruments & Apparatus,1,90.9499999999998
2021,879526,WABASH NATIONAL CORPORATION,US-IN,Truck Trailers,1,0.011639999999999984
2022,109563,"APPLIED INDUSTRIAL TECHNOLOGIES, INC.",US-OH,"Wholesale-Machinery, Equipment & Supplies",1,2.93949
2023,1618732,"NUTANIX, INC.",US-CA,Services-Prepackaged Software,5,-1.249960000000002
2022,1078075,"NETSCOUT SYSTEMS, INC.",US-MA,Services-Computer Integrated Systems Design,5,1.105939999999999
2023,103595,"VILLAGE SUPER MARKET, INC.",US-NJ,Retail-Grocery Stores,6,0.48099000000000003
2024,1110803,"Illumina, Inc.",US-CA,Laboratory Analytical Instruments,1,-12.23000000000001
2024,1506251,"Citius Pharmaceuticals, Inc.",US-NJ,Pharmaceutical Preparations,2,-0.39972072000000003
2023,721371,"Cardinal Health, Inc.",US-OH,"Wholesale-Drugs, Proprietaries & Druggists' Sundries",6,10.859999999999989
2022,54187,MAYS J W INC,US-NY,Opeators of  Nonresidential Buildings,1,-0.00009819000000000012
2023,1017303,TRANSACT TECHNOLOGIES INC,US-CT,"Computer Peripheral Equipment, NEC",7,0.047479999999999994
2022,56679,KORN FERRY,US-CA,Services-Employment Agencies,9,2.461360000000001
2022,1324948,RBC BEARINGS INCORPORATED,US-CT,Ball & Roller Bearings,1,1.180460000000001
2021,80420,"Powell Industries, Inc.",US-TX,Switchgear & Switchboard Apparatus,7,-0.01851
2022,857005,PTC Inc.,US-MA,Services-Prepackaged Software,5,3.0566599999999977
2023,1327567,"PALO ALTO NETWORKS, INC",US-CA,"Computer Peripheral Equipment, NEC",7,21.566999999999993
2023,720762,NON INVASIVE MONITORING SYSTEMS INC /FL/,US-FL,Electromedical & Electrotherapeutic Apparatus,1,-0.002200000000000001
2023,863894,VERU INC.,US-FL,Pharmaceutical Preparations,2,-0.6711024699999999
2024,1262104,"MEI Pharma, Inc.",US-CA,Pharmaceutical Preparations,2,-0.2893800000000001
2022,14693,Brown-Forman Corporation,US-KY,Beverages,2,8.34999999999998
2022,1334978,"CLEAR CHANNEL OUTDOOR HOLDINGS, INC.",US-TX,Services-Advertising,9,-0.9660399999999991
2024,33002,"ENNIS, INC.",US-TX,Manifold Business Forms,9,0.41105
2024,104894,ELME COMMUNITIES,US-MD,Real Estate Investment Trusts,3,-0.13103
2021,1499961,MULLEN AUTOMOTIVE INC.,US-CA,Motor Vehicles & Passenger Car Bodies,1,-0.0931828
2021,67887,MOOG Inc.,US-NY,Misc Industrial & Commercial Machinery & Equipment,1,1.671969999999999
2024,1570585,Liberty Global Ltd.,BM-,Cable & Other Pay Television Services,9,15.87999999999989
2022,1636519,MADISON SQUARE GARDEN SPORTS CORP.,US-NY,Services-Miscellaneous Amusement & Recreation,9,0.53677
2021,939930,"Pyxus International, Inc.",US-NC,Wholesale-Farm Product Raw Materials,1,-0.5945400000000001
2022,1618921,"WALGREENS BOOTS ALLIANCE, INC.",US-IL,Retail-Drug Stores and Proprietary Stores,6,-29.640000000000008
2021,863894,VERU INC.,US-FL,Pharmaceutical Preparations,2,-0.14611719000000012
2022,886128,"FUELCELL ENERGY, INC.",US-CT,Electrical Industrial Apparatus,1,-1.07667
2022,896429,"Cantaloupe, Inc.",US-PA,Calculating & Accounting Machines (No Electronic Computers),1,-0.048749999999999995
2023,1613103,Medtronic plc,IE-,Electromedical & Electrotherapeutic Apparatus,1,42.44
2021,731653,UNITED BANCORP INC /OH/,US-OH,State Commercial Banks,4,0.09451000000000001
2021,891166,"UNIVERSAL INSURANCE HOLDINGS, INC.",US-FL,"Fire, Marine & Casualty Insurance",1,0.20407000000000092
2024,12208,"BIO-RAD LABORATORIES, INC.",US-CA,Laboratory Analytical Instruments,1,-18.44199999999999
2024,936528,"WAFD, INC.",US-WA,National Commercial Banks,4,1.9227500000000002
2024,887343,"COLUMBIA BANKING SYSTEM, INC.",US-WA,State Commercial Banks,4,5.34
2022,854775,DIGI INTERNATIONAL INC.,US-MN,Computer Communications Equipment,7,0.16877999999999999
2024,1032220,"Maximus, Inc.",US-VA,"Services-Business Services, NEC",9,3.0121000000000024
2024,720154,"INOTIV, INC.",US-IN,Services-Commercial Physical & Biological Research,9,-1.27883
2024,69422,THE INTERGROUP CORPORATION,US-CA,Operators of  Apartment Buildings,9,-0.09451000000000001
2022,825324,Good Times Restaurants Inc.,US-CO,Retail-Eating  Places,6,-0.013390000000000003
2022,1006028,"PURE Bioscience, Inc.",US-CA,Miscellaneous Chemical Products,2,-0.03573
2024,723254,Cintas Corporation,US-OH,"Men's & Boys' Furnishgs, Work Clothg, & Allied Garments",1,16.95685999999995
2024,40570,GEE GROUP INC.,US-FL,Services-Employment Agencies,9,-0.40272
2023,746514,New England Realty Associates Limited Partnership,US-MA,Operators of  Apartment Buildings,9,0.0845395
2021,1493594,"MACOM Technology Solutions Holdings, Inc.",US-MA,Semiconductors & Related Devices,7,1.83644
2021,1497253,"Organovo Holdings, Inc.",US-CA,"Biological Products, (No Diagnostic Substances)",2,-0.12048
2021,1438133,"Tandem Diabetes Care, Inc.",US-CA,Surgical & Medical Instruments & Apparatus,1,0.15566
2023,1295947,PRESTIGE CONSUMER HEALTHCARE INC.,US-NY,Pharmaceutical Preparations,2,2.118319999999998
2023,1039280,"NETSOL TECHNOLOGIES, INC.",US-CA,Services-Prepackaged Software,5,0.055284520000000004
2023,14846,BRT APARTMENTS CORP.,US-NY,Real Estate Investment Trusts,3,0.03873000000000001
2022,915779,"Daktronics, Inc.",US-SD,Miscellaneous Manufacturing Industries,1,-0.18947000000000003
2023,866787,AUTOZONE INC,US-TN,Retail-Auto & Home Supply Stores,6,24.58198999999999
2021,1034054,SBA COMMUNICATIONS CORPORATION,US-FL,Real Estate Investment Trusts,3,2.37624
2021,110621,RPM INTERNATIONAL INC/DE/,US-OH,"Paints, Varnishes, Lacquers, Enamels & Allied Prods",1,3.3594100000000022
2022,887343,"COLUMBIA BANKING SYSTEM, INC.",US-WA,State Commercial Banks,4,3.3675199999999994
2024,711377,Neogen Corporation,US-MI,In Vitro & In Vivo Diagnostic Substances,2,-4.7293499999999895
2024,1504461,NGL Energy Partners LP,US-OK,Natural Gas Transmission,0,-2.11121999999999
2024,775057,ALTEX INDUSTRIES INC,US-CO,Crude Petroleum & Natural Gas,0,0.00864
2022,57131,LA-Z-BOY INCORPORATED,US-MI,Household Furniture,1,1.447579999999999
2021,703351,"BRINKER INTERNATIONAL, INC.",US-TX,Retail-Eating  Places,6,1.086
2024,715446,"ANIXA BIOSCIENCES, INC.",US-CA,Pharmaceutical Preparations,2,-0.12877
2024,928465,AMCON DISTRIBUTING CO,US-NE,"Wholesale-Groceries, General Line",6,0.0386676
2021,72573,"MOVADO GROUP, INC.",US-NJ,"Watches, Clocks, Clockwork Operated Devices/Parts",1,0.9162899999999998
2022,836157,Lindsay Corporation,US-NE,Farm Machinery & Equipment,1,0.8292900000000001
2023,100493,"TYSON FOODS, INC.",US-AR,Poultry Slaughtering and Processing,1,-8.23999999999998
2022,1336917,"UNDER ARMOUR, INC.",US-MD,Apparel & Other Finishd Prods of  Fabrics & Similar Matl,1,1.3695299999999988
2024,720762,NON INVASIVE MONITORING SYSTEMS INC /FL/,US-FL,Electromedical & Electrotherapeutic Apparatus,1,-0.0020700000000000002
2023,765207,"FIRST BANCORP, INC",US-ME,National Commercial Banks,4,0.29518
2023,1583107,"THERAVANCE BIOPHARMA, INC.",US-CA,Pharmaceutical Preparations,2,-0.5519299999999999
2023,1571996,Dell Technologies Inc.,US-TX,Electronic Computers,7,33.87999999999999
2024,1376986,TENNESSEE VALLEY AUTHORITY,US-TN,Electric Services,9,7.939999999999991
2021,39020,"FREQUENCY ELECTRONICS, INC.",US-NY,Instruments For Meas & Testing of  Electricity & Elec Signals,7,-0.02613000000000001
2023,2969,"AIR PRODUCTS AND CHEMICALS, INC.",US-PA,Industrial Inorganic Chemicals,2,22.402999999999942
2023,40570,GEE GROUP INC.,US-FL,Services-Employment Agencies,9,0.14855
2021,889971,"LIGHTPATH TECHNOLOGIES, INC.",US-FL,Semiconductors & Related Devices,7,-0.021325160000000003
2022,885275,WILSON BANK HOLDING CO,US-TN,National Commercial Banks,4,0.53042
2024,1633978,Lumentum Holdings Inc.,US-CA,"Communications Equipment, NEC",7,-3.972999999999999
2021,1617242,KEARNY FINANCIAL CORP.,US-NJ,"Savings Institution, Federally Chartered",8,0.7339
2023,1579877,OUTFRONT Media Inc.,US-NY,Real Estate Investment Trusts,3,-4.251999999999989
2023,25895,"Crown Crafts, Inc.",US-LA,"Broadwoven Fabric Mills, Cotton",1,0.057460000000000004
2023,100378,TWIN DISC INC,US-WI,General Industrial Machinery & Equipment,1,0.06319
2023,1262104,"MEI Pharma, Inc.",US-CA,Pharmaceutical Preparations,2,0.14435000000000103
2023,857005,PTC Inc.,US-MA,Services-Prepackaged Software,5,2.5268699999999993
2021,768408,Cyanotech Corp,US-HI,Medicinal Chemicals & Botanical Products,2,0.01676
2022,868671,"GLACIER BANCORP, INC.",US-MT,State Commercial Banks,4,3.0320199999999993
2022,1005210,SUBURBAN PROPANE PARTNERS LP,US-NJ,Retail-Miscellaneous Retail,6,2.154259999999999
2024,804328,QUALCOMM INC/DE,US-CA,Radio & Tv Broadcasting & Communications Equipment,7,97.6399999999999
2024,32621,EMERSON RADIO CORP,US-NJ,Household Audio & Video Equipment,7,-0.02791000000000001
2024,6281,"Analog Devices, Inc.",US-MA,Semiconductors & Related Devices,7,14.78021999999997
2022,918965,"ScanSource, Inc.",US-SC,Wholesale-Computers & Peripheral Equipment & Software,1,0.96828
2021,1124140,EXACT SCIENCES CORPORATION,US-WI,Services-Medical Laboratories,9,-5.95624999999999
2023,804328,QUALCOMM INC/DE,US-CA,Radio & Tv Broadcasting & Communications Equipment,7,80.7699999999998
2023,1050825,STEELCASE INC,US-MI,Office Furniture (No Wood),1,0.7550000000000001
2024,67887,MOOG Inc.,US-NY,Misc Industrial & Commercial Machinery & Equipment,1,2.258360000000002
2024,926282,"ADTRAN Holdings, Inc.",US-AL,Telephone & Telegraph Apparatus,7,-4.598909999999989
2023,1046050,"TIMBERLAND BANCORP, INC.",US-WA,"Savings Institutions, Not Federally Chartered",8,0.25907000000000013
2024,746598,BRADY CORP,US-WI,Miscellaneous Manufacturing Industries,1,1.88897
2023,1504008,"BankUnited, Inc.",US-FL,"Savings Institution, Federally Chartered",8,1.786710000000001
2022,1017303,TRANSACT TECHNOLOGIES INC,US-CT,"Computer Peripheral Equipment, NEC",7,-0.059359999999999996
2023,703351,"BRINKER INTERNATIONAL, INC.",US-TX,Retail-Eating  Places,6,1.507000000000001
2021,1603345,AGENTIX CORP.,US-CA,"Biological Products, (No Diagnostic Substances)",2,-0.012812470000000001
2021,278166,CAVCO INDUSTRIES INC.,US-AZ,Mobile Homes,9,1.637759999999999
2021,1002590,"STAR GROUP, L.P.",US-CT,"Retail-Retail Stores, NEC",6,0.643660000000001
2021,858877,"CISCO SYSTEMS, INC.",US-CA,Computer Communications Equipment,7,116.78999999999971
2022,1003078,"MSC INDUSTRIAL DIRECT CO., INC.",US-NY,Wholesale-Industrial Machinery & Equipment,1,3.505590000000001
2023,1070524,"GREENE COUNTY BANCORP, INC.",US-NY,"Savings Institutions, Not Federally Chartered",8,0.28358
2021,1359841,Hanesbrands Inc.,US-NC,Retail-Apparel & Accessory Stores,6,0.77224
2024,36840,"FIRST REAL ESTATE INVESTMENT TRUST OF NEW JERSEY, INC.",US-NJ,Real Estate Investment Trusts,3,0.16978000000000001
2024,108312,"WOODWARD, INC.",US-CO,Electrical Industrial Apparatus,1,3.88797
2024,1224608,"CNO Financial Group, Inc.",US-IN,Accident & Health Insurance,9,4.04
2021,6845,"APOGEE ENTERPRISES, INC.",US-MN,"Glass Products, Made of  Purchased Glass",1,0.57031
2022,1403475,Bank of Marin Bancorp,US-CA,State Commercial Banks,4,0.46586000000000005
2023,1127475,"DIGITAL BRAND MEDIA & MARKETING GROUP, INC.",US-NY,"Services-Business Services, NEC",9,-0.00723323
2022,794619,American Woodmark Corp,US-VA,"Millwood, Veneer, Plywood, & Structural Wood Members",1,0.14324999999999902
2021,99780,TRINITY INDUSTRIES INC,US-TX,Railroad Equipment,1,1.82
2024,918965,"ScanSource, Inc.",US-SC,Wholesale-Computers & Peripheral Equipment & Software,1,0.59639
2022,1165002,"WESTWOOD HOLDINGS GROUP, INC.",US-TX,Investment Advice,3,0.09763
